Unnamed: 0,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
385,1759.45466,13.478660000000001,60.5,38.6,51.8,7.5868800000000025,1154.21475,4,0.5599218362336762
390,1738.69942,13.388620000000001,60.5,38.6,51.8,8.24259,1107.8635,4,0.8932561159922694
395,1754.35211,13.412629999999998,61.5,38.6,51.8,9.13284,1380.54075,12,1.0562298250826334
400,1741.8808399999998,13.41663,61.5,38.6,50.8,8.94278,1456.80162,12,0.8189958563028341
405,1760.37017,13.422629999999998,61.5,38.6,50.8,7.3745699999999985,1137.7845,4,1.0131476321798385
410,1754.95245,13.45865,61.5,38.6,50.8,7.14111,1020.1061199999999,8,1.6284048786124818
415,1741.4908699999999,13.426639999999999,61.5,38.6,50.8,7.451010000000001,1131.21675,4,0.8675805042140325
420,1622.9622,12.502180000000001,61.5,38.6,50.8,6.5166,770.297,13,0.5391981396492389
425,1759.93486,13.40262,61.5,38.6,50.8,6.747089999999999,955.07394,13,1.1307287363885408
430,1757.5186600000006,13.382620000000001,61.5,38.6,50.8,7.4611100000000015,1155.02025,4,0.8204371013713442
435,1763.94185,13.43264,61.5,37.6,50.8,7.8003300000000015,1065.65475,4,0.709119133059399
440,1749.9700300000006,13.39262,61.5,37.6,50.8,7.33058,950.09694,8,0.960307834727994
445,1761.2104600000002,13.394620000000002,61.5,37.6,50.8,7.293539999999999,974.36075,8,1.1537309526067423
450,1695.59802,12.97842,61.5,37.6,49.8,7.2672399999999975,846.46694,8,0.7573081572539155
455,1670.55079,12.78232,61.5,37.6,49.8,6.66852,815.7655599999997,13,0.5579527245019441
460,1756.0479999999998,13.366610000000001,61.5,37.6,49.8,6.95955,925.37194,13,1.3263118699616994
465,1744.53714,13.44464,61.5,37.6,49.8,7.536589999999999,982.3711900000001,8,0.9950261566932244
470,1759.6497100000001,13.394620000000002,61.5,37.6,49.8,8.42183,1202.91275,4,1.2186559077867176
475,1751.29053,13.42063,61.5,37.6,49.8,8.3958,1326.22,12,0.6544251930705539
480,1741.07058,13.44464,61.5,37.6,49.8,7.689139999999999,1224.90563,4,0.5895163823755296
485,1759.55962,13.46065,61.5,37.6,49.8,8.00271,1099.93212,4,0.5412836310166019
490,1752.9563899999994,13.412629999999998,61.5,37.6,49.8,8.22212,1163.88663,4,0.7626254578280173
495,1749.8048600000006,13.382620000000001,61.5,37.6,49.8,6.95935,937.72281,13,1.3745474889979892
500,1755.7777199999994,13.44665,61.5,37.6,49.8,9.37019,1338.24975,12,1.5860317852894288
505,1717.9440399999999,13.1485,61.5,37.6,49.8,7.3003800000000005,887.61125,8,0.7316861857778972
