,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
475,1751.29053,13.42063,61.5,37.6,49.8,8.3958,1326.22,1,0.4545296918783483
480,1741.07058,13.44464,61.5,37.6,49.8,7.689139999999999,1224.90563,1,1.0158415949039477
485,1759.55962,13.46065,61.5,37.6,49.8,8.00271,1099.93212,1,1.1249289002867207
490,1752.9563899999996,13.412629999999998,61.5,37.6,49.8,8.22212,1163.88663,1,0.6410401463162889
495,1749.8048600000004,13.38262,61.5,37.6,49.8,6.95935,937.72281,4,1.0431103085324989
500,1755.7777199999996,13.44665,61.5,37.6,49.8,9.37019,1338.24975,7,1.7246401214150493
505,1717.94404,13.1485,61.5,37.6,49.8,7.30038,887.61125,4,0.4714774686354286
510,1716.44335,13.11648,61.5,37.6,49.8,6.11411,876.31438,9,1.6258706614092526
515,1619.5253699999996,12.50018,61.5,36.6,49.8,6.00811,763.63181,9,1.2145185205734017
520,1508.78573,11.57172,61.5,36.6,49.8,6.13163,602.62094,9,0.8408169975948613
525,1453.75347,11.17752,60.5,36.6,49.8,4.6376800000000005,544.12212,3,2.181313494393972
530,1447.52549,11.10549,60.5,36.6,48.8,5.04087,529.5285,3,1.4038442434614111
535,1497.69531,11.38363,60.5,36.6,48.8,5.5268,578.26738,3,1.2408486570069404
540,1600.34605,12.20403,60.5,36.6,48.8,5.8158,712.8939999999999,9,1.3899317029790617
545,1667.0539,12.84835,60.5,36.6,47.8,7.60085,823.22,4,0.5970879630477941
550,1595.18344,12.17402,60.5,35.6,47.8,6.02538,704.4288799999998,9,1.0160780418411317
555,1484.02351,11.42365,59.5,35.6,47.8,6.122719999999998,578.68525,9,0.9243815588032513
560,1473.38327,11.29158,59.5,35.6,47.8,6.73665,562.029,9,0.660159263529884
565,1468.38569,11.25356,59.5,35.6,47.8,6.77871,553.86838,9,0.7421525079596101
570,1270.18281,9.73681,58.5,35.6,46.8,4.34725,361.89278,0,1.209121595473927
575,1197.5018699999996,9.15252,58.5,35.6,46.8,4.81752,299.59212,0,0.9708652680131006
580,1232.27405,9.47868,57.5,35.6,45.8,4.4150800000000014,332.9624100000001,0,0.9293141013961996
585,1258.9122,9.66878,57.5,34.6,45.8,4.8685800000000015,351.15156,0,1.3684859572526442
590,1271.78861,9.66077,57.5,34.6,44.8,5.66498,347.47803,3,0.5341047685235841
595,1420.03188,10.88738,56.5,34.6,44.8,5.3198,500.23031,3,0.8307786988400558
600,1529.90105,11.62375,56.5,34.6,44.8,7.04626,610.72406,9,0.9021777703938803
605,1493.49312,11.47367,56.5,34.6,44.8,5.93323,587.3458099999998,9,1.2060181127579899
610,1510.06148,11.56972,56.5,34.6,43.8,6.1569,604.3508099999998,9,0.7949932303309901
615,1554.22811,11.91189,56.5,33.6,43.8,6.67117,659.13256,9,0.1917984637761109
620,1638.99014,12.61424,56.5,33.6,43.8,6.40966,777.24131,9,0.8304691265371801
625,1581.93179,12.05596,57.5,33.6,43.8,5.822780000000002,687.22631,9,1.3429040720639915
630,1579.8459300000004,12.09798,57.5,33.6,43.8,6.5705300000000015,694.2835,9,0.25560160406514504
635,1696.4684899999993,12.99242,57.5,33.6,43.8,6.853339999999998,850.14925,4,1.292312948049524
640,1679.66017,12.79833,57.5,33.6,43.8,6.747910000000001,806.28125,9,1.0205988099882364
645,1449.58146,11.10149,57.5,33.6,43.8,5.12211,535.09406,3,1.3033879764524567
650,1266.23589,9.7148,57.5,33.6,43.8,5.04694,354.3675,3,1.170933810350258
655,1297.61636,9.95892,57.5,33.6,43.8,5.37859,385.15641,3,0.4399838072810043
660,1314.10949,10.08098,57.5,33.6,43.8,5.3678,394.72966,3,0.4326457737608202
665,1323.56408,10.13101,56.5,33.6,43.8,4.2885300000000015,408.58184,0,1.6285512374881284
670,1346.55563,10.24306,56.5,33.6,42.8,5.62105,422.39634,3,0.1415146212221097
675,1446.29479,11.15551,56.5,33.6,42.8,6.17181,537.57925,9,1.0207961043056475
680,1537.23976,11.71779,56.5,33.6,42.8,5.7783,632.05519,9,1.4126907886295998
685,1627.05913,12.43615,56.5,33.6,42.8,6.10981,752.502,9,1.0261652526337517
690,1457.91047,11.17352,56.5,33.6,42.8,6.15525,545.16206,9,1.0077026114209795
695,1265.17022,9.73881,56.5,33.6,42.8,4.75568,358.59775,0,1.271341018304493
700,1356.25032,10.3111,56.5,33.6,42.8,5.85305,425.35019000000005,3,0.6173928726194269
705,1523.5379300000004,11.67977,56.5,33.6,42.8,7.08628,616.98988,9,0.9599484412992771
710,1456.0195199999996,11.05947,56.5,33.6,42.8,5.62167,527.0015,3,0.8635825929537925
715,1466.40479,11.26357,56.5,33.6,42.8,6.81894,556.7681299999998,9,0.766557426644942
720,1709.11966,13.10248,56.5,33.6,42.8,7.07468,884.5563800000001,4,0.8564084777791161
725,1550.47625,11.88988,56.5,33.6,42.8,5.76654,654.60938,9,1.4267486800067968
730,1546.12405,11.84385,56.5,33.6,42.8,6.0397300000000005,646.44188,9,0.9400304141729842
735,1624.70314,12.44215,56.5,33.6,42.8,6.89467,746.16162,9,0.8297082766190002
740,1477.22522,11.25156,56.5,33.6,42.8,5.6095,552.9340599999998,3,1.0534005229158665
745,1261.85366,9.68279,56.5,33.6,42.8,4.50894,354.02281,0,1.083076008845607
750,1361.50288,10.49319,56.5,33.6,42.8,5.66834,443.01034,3,0.316461609352824
755,1614.54296,12.3501,56.5,33.6,42.8,7.09163,720.63306,9,1.0308406520564293
760,1614.13783,12.27607,56.5,33.6,42.8,7.01484,718.1593799999998,9,0.9002796912316136
765,1748.19906,13.40262,57.5,33.6,42.8,8.02135,1087.05788,1,1.18815427035249
770,1746.14294,13.37061,57.5,33.6,42.8,8.00357,935.75244,4,0.815142637191079
775,1676.14841,12.90238,58.5,33.6,42.8,6.846,823.5276200000002,9,1.1876772498718184
780,1712.6464399999998,13.19652,58.5,33.6,42.8,8.005419999999999,886.23881,4,0.8328620038784911
785,1617.75455,12.37812,58.5,33.6,42.8,5.16119,740.79269,3,2.596706259778817
790,1561.08661,12.00393,58.5,33.6,42.8,6.2212,675.54794,9,0.629584841218763
795,1620.7861,12.47817,58.5,33.6,42.8,6.7509,739.03444,9,0.6334543544694085
800,1737.6789399999998,13.31458,58.5,33.6,42.8,6.56165,927.05969,9,1.7345261913906138
805,1752.05589,13.422629999999998,58.5,33.6,42.8,8.32431,1110.00625,1,0.9846882659649203
810,1757.6836899999996,13.38662,59.5,33.6,43.8,9.19778,1772.49475,7,1.0185974953334715
815,1751.75587,13.39862,60.5,33.6,43.8,8.29626,1361.227,1,0.5986693560933797
820,1739.26958,13.38061,60.5,33.6,43.8,8.42715,1347.71425,1,0.5970618742704368
825,1747.08863,13.40462,60.5,33.6,44.8,8.04815,1770.49025,7,1.898031148285531
830,1744.4922399999996,13.37461,61.5,33.6,44.8,9.3722,1518.11275,7,0.8039325683605419
835,1760.73025,13.45865,61.5,33.6,45.8,8.22625,1459.10362,1,1.2046520381192427
840,1748.42415,13.36661,61.5,34.6,45.8,7.6637,1573.27238,1,2.1746931361277135
845,1744.58234,13.40262,62.5,34.6,46.8,8.44662,1847.42512,7,1.71958791292326
850,1738.27913,13.40462,62.5,34.6,46.8,9.62049,1869.47575,8,0.9622588173183234
855,1765.65261,13.44665,62.5,34.6,47.8,10.02428,2027.30338,8,0.4739672457772913
860,1763.8968,13.44064,63.5,34.6,48.8,7.41631,1485.55425,1,2.0025123707315546
865,1748.39412,13.43064,63.5,35.6,48.8,9.83851,1635.94675,7,1.3824557164575157
870,1750.78029,13.46265,63.5,35.6,48.8,9.68363,1868.95662,8,0.9110219882799298
875,1752.83641,13.41063,63.5,35.6,49.8,7.59612,1170.17288,1,1.2933499058083178
880,1772.22595,13.48867,63.5,35.6,49.8,9.64365,1861.47338,8,0.9930801755939502
885,1764.4520899999998,13.514679999999998,63.5,35.6,49.8,9.6665,1385.5279999999998,7,1.7231564639345278
890,1742.0309899999993,13.3566,63.5,36.6,50.8,9.51317,1889.38575,8,0.9761078274630791
895,1741.65575,13.36661,63.5,36.6,50.8,7.607410000000002,1663.566,7,2.3985480729962205
900,1757.56371,13.42864,63.5,36.6,50.8,9.90262,1505.91925,7,1.6054503990205407
905,1738.51923,13.37661,63.5,36.6,50.8,8.017539999999999,1025.2808699999996,4,1.0731422509399469
910,1752.40125,13.41663,63.5,36.6,50.8,7.54091,1252.64325,1,1.245537726241858
915,1735.15748,13.3566,63.5,36.6,51.8,6.21534,1075.68575,4,2.549481590177716
920,1740.3501199999996,13.39862,63.5,36.6,51.8,8.54149,1294.44838,1,0.5429019503208524
925,1757.39854,13.44665,63.5,36.6,51.8,6.27461,1112.25837,4,2.5552358245243525
930,1746.42809,13.3506,63.5,36.6,51.8,7.952339999999999,928.95719,4,0.7201987308136446
935,1670.55079,12.72029,63.5,36.6,51.8,6.42663,790.5785599999998,9,0.9019770629374987
940,1571.99699,12.08197,63.5,36.6,51.8,4.8778,699.22025,3,2.5837751828723516
945,1365.28477,10.42115,62.5,36.6,51.8,4.86345,449.37519,3,1.4974356804839282
950,1632.40178,12.5382,62.5,36.6,50.8,4.9703,761.58525,3,2.8934697702397374
955,1310.68782,10.04697,61.5,36.6,50.8,5.91135,401.39525,3,0.7378856687779144
960,1277.1911699999996,9.7068,60.5,36.6,50.8,6.01072,353.41253,3,1.0417216968345133
965,1175.27583,8.95242,59.5,36.6,49.8,5.4931800000000015,273.72078,3,1.0516236419080853
970,1125.03108,8.62026,58.5,36.6,48.8,4.38224,247.25475,0,0.341455912364758
975,1296.55083,9.90289,58.5,36.6,48.8,6.12167,369.65153,3,1.219108331804886
980,1397.6558300000004,10.73331,58.5,36.6,47.8,5.58452,478.03656,3,0.49027041644405267
985,1428.97638,10.87938,58.5,35.6,47.8,4.6094,499.26962,0,2.3269661878251204
990,1465.6394300000004,11.16352,58.5,35.6,46.8,5.74161,544.52756,3,1.0550931325061645
995,1465.1140300000004,11.29558,58.5,35.6,46.8,6.0207,564.6904400000002,9,1.1264621275999087
1000,1453.51337,11.16152,58.5,35.6,46.8,5.2252,541.41,3,1.1966923982530921
1005,1718.04915,13.23054,58.5,35.6,45.8,6.7783,912.565,4,1.354720024365641
1010,1278.692,9.86087,58.5,34.6,45.8,5.3101699999999985,369.56216,3,0.6229596079849888
1015,1458.4659,11.16752,57.5,34.6,45.8,5.44336,539.6453700000002,3,0.9822306226202304
1020,1748.21393,13.44064,57.5,34.6,45.8,8.36139,1160.9203699999996,1,0.6868474637633707
1025,1738.74432,13.36461,58.5,34.6,45.8,8.20996,1226.44363,1,0.25792226276854846
1030,1728.11909,13.29257,59.5,34.6,45.8,8.92322,1858.1779999999999,7,1.4959587804778687
1035,1749.11443,13.48066,59.5,34.6,45.8,9.79256,1796.7345,8,1.3779129735171265
1040,1748.28915,13.412629999999998,60.5,34.6,45.8,9.01139,1737.76975,7,0.7670621738731004
1045,1747.7036899999996,13.47866,60.5,34.6,45.8,8.42549,1335.51625,1,0.5319887424232165
1050,1738.74432,13.40462,60.5,34.6,45.8,6.14164,1048.11694,9,2.615586801637763
1055,1759.18452,13.38862,60.5,34.6,45.8,7.5987399999999985,1096.34025,4,1.128248133139912
1060,1738.41427,13.30257,60.5,34.6,45.8,6.809,914.4110000000001,4,1.3003799925240263
1065,1740.63527,13.3566,60.5,34.6,45.8,7.99283,1058.01613,4,1.1840639155097177
1070,1764.51215,13.42463,61.5,34.6,45.8,7.89175,1224.52662,1,0.6788696833570911
1075,1612.98221,12.35811,61.5,34.6,45.8,7.0732800000000005,741.8693099999998,9,1.0650848865360232
1080,1522.41234,11.62575,61.5,34.6,45.8,5.64624,616.1935,3,1.5324377014947874
1085,1626.90912,12.44615,61.5,34.6,45.8,6.11257,754.91412,9,1.0317082670063493
1090,1705.6679600000002,13.06246,61.5,34.6,45.8,6.98504,878.9123800000001,4,1.0184047873596962
1095,1407.66571,10.78333,60.5,34.6,45.8,5.04504,492.31969,3,1.2419595536118042
1100,1741.04054,13.23054,60.5,34.6,45.8,6.88094,893.98475,4,1.1823342073007237
1105,1743.77178,13.39662,60.5,34.6,45.8,9.01037,1716.64938,7,0.6408622575365407
1110,1779.59469,13.5527,61.5,34.6,45.8,9.43191,2052.75337,8,0.9772932430121277
1115,1747.14855,13.43264,62.5,34.6,45.8,10.97487,2058.00912,2,0.9287175376468357
1120,1758.55416,13.45065,62.5,34.6,45.8,10.58192,2057.9425,8,1.5935922426447926
1125,1740.4701,13.38262,62.5,34.6,46.8,11.02719,2061.14363,2,0.8584085649777328
1130,1749.72978,13.3446,63.5,34.6,46.8,6.895510000000002,1598.79462,1,3.154906093234589
1135,1727.3837600000004,13.298570000000002,63.5,34.6,47.8,8.36876,1265.6,1,0.21047878083276345
1140,1721.8911100000007,13.28256,63.5,34.6,47.8,5.90686,921.25662,9,2.0652385431876166
1145,1721.80101,13.108479999999998,63.5,34.6,47.8,9.83377,2034.38812,8,0.3555567209682361
1150,1768.7442199999996,13.43264,63.5,34.6,47.8,9.2168,1295.38162,1,1.7086275506936641
1155,1747.31372,13.44665,63.5,34.6,48.8,9.14959,1784.39975,7,1.0676525649984236
1160,1744.3571,13.406629999999998,63.5,35.6,48.8,8.19784,1427.53412,1,1.0108555286078396
1165,1763.1913600000007,13.42463,63.5,35.6,48.8,9.92649,1770.69275,8,1.571571317689589
1170,1752.17601,13.422629999999998,63.5,35.6,48.8,9.8013,1992.64388,8,0.10478732410381902
1175,1747.89889,13.394620000000002,63.5,35.6,48.8,9.38793,2056.239,8,1.0680860844830624
1180,1734.42215,13.3566,64.5,35.6,49.8,9.64452,2059.45675,8,0.6768039928478758
1185,1761.33044,13.42063,64.5,35.6,49.8,10.25302,2056.59988,8,0.9790746416180077
1190,1756.30312,13.45465,64.5,35.6,49.8,11.2795,2018.12575,2,0.41784807440879906
1195,1765.78775,13.44464,64.5,36.6,50.8,9.14143,1567.6595,7,0.32143571698967127
1200,1746.7284,13.42463,64.5,36.6,50.8,7.61035,1381.4225,1,1.331529089215793
1205,1752.7912199999996,13.40262,64.5,36.6,50.8,7.40625,1074.49525,4,1.0177539160446394
1210,1645.4582300000004,12.68827,64.5,36.6,50.8,7.416989999999998,786.1243099999998,4,0.853014623033999
1215,1517.94016,11.55371,63.5,36.6,50.8,5.38775,600.53362,3,1.4528030976572504
1220,1745.87295,13.37061,63.5,36.6,50.8,7.2711,955.20038,4,0.5408156031141974
1225,1253.67452,9.64076,62.5,36.6,50.8,5.72445,345.40709,3,0.6082881873442483
1230,1108.28276,8.44017,61.5,36.6,50.8,3.24005,63.76541,5,0.31549633260499654
1249,1779.45955,13.66475,56.5,36.6,47.8,7.79846,1200.67838,1,0.89037269139404
1254,1756.27309,13.44064,58.5,36.6,47.8,8.21004,1310.6115,1,0.2850883317173522
1259,1602.02678,12.31409,59.5,36.6,47.8,4.77444,738.2456900000002,3,2.947624903424415
1264,1524.31845,11.71579,59.5,36.6,47.8,5.53909,624.50681,3,1.5854442060174485
1269,1518.79576,11.62775,59.5,36.6,46.8,7.1212399999999985,598.59181,9,1.053752012709924
1274,1637.75959,12.49818,59.5,36.6,46.8,7.56755,744.0405599999998,4,1.0867170309450687
1279,1738.80453,13.29657,59.5,36.6,46.8,8.225010000000001,1277.488,1,0.08157116644149953
1284,1535.45392,11.70378,59.5,36.6,46.8,5.643,626.01131,3,1.6047443452189867
1289,1099.30837,8.43417,59.5,36.6,46.8,2.7806,44.34129,5,1.0484216752460092
1296,1097.52239,8.42817,57.5,36.6,45.8,3.23226,37.03597,5,0.5224877749263895
1319,1101.76955,8.42216,52.5,35.6,42.8,2.68658,94.44202,5,1.1677316063539709
1324,1107.00716,8.420160000000001,53.5,34.6,42.8,4.18053,157.78631,0,0.9648080090597105
1329,1099.53346,8.43417,53.5,34.6,42.8,4.12519,147.84784,0,1.1208115079994618
1334,1099.96869,8.42817,53.5,34.6,42.8,4.301830000000002,154.3072,0,0.7769387302557718
1339,1101.22928,8.44617,53.5,34.6,42.8,2.99393,47.95826,5,0.6133629775881497
1344,1109.13814,8.44818,53.5,34.6,42.8,3.88498,154.1047,0,1.5966533360141817
1349,1109.07815,8.436169999999999,53.5,35.6,43.8,4.20556,168.37783000000005,0,0.8640074716144175
1354,1235.17046,9.52671,53.5,35.6,43.8,5.55393,336.27469,3,0.5733435313991018
1359,1419.6866699999996,10.88138,53.5,35.6,43.8,5.11261,499.43481,3,1.148438569950364
1364,1288.37183,9.88889,53.5,36.6,44.8,4.4793400000000005,376.33972,0,1.2734916976341242
1369,1760.55021,13.422629999999998,53.5,36.6,44.8,7.66582,971.03556,4,0.39863360656563274
1374,1634.38282,12.47016,54.5,37.6,45.8,5.99559,763.7506900000002,9,1.2333375405149782
1379,1399.98194,10.78133,54.5,37.6,45.8,5.63085,479.51481,3,0.5192311373589387
1384,1434.39396,10.98943,54.5,37.6,45.8,7.24133,512.7121900000002,9,1.5049950174126945
1389,1284.39473,9.85687,54.5,37.6,45.8,5.69614,367.75044,3,0.43847277692382086
1394,1230.1730300000004,9.39064,54.5,37.6,45.8,5.87778,318.41447,3,0.9685312854649533
1399,1139.61825,8.746319999999999,54.5,37.6,45.8,4.33451,258.68689,0,0.48953224669724016
1404,1153.54517,8.83437,54.5,37.6,44.8,5.12242,265.79681,0,1.5094186935843104
1409,1106.3768699999996,8.43217,53.5,36.6,44.8,3.96853,145.39517,0,1.4482293802587922
1414,1104.54591,8.42817,53.5,36.6,44.8,3.62361,141.90498,5,1.089785776651605
1419,1100.73405,8.42817,53.5,36.6,43.8,3.9083,174.49455,0,1.4857356657525764
1424,1105.64146,8.42416,52.5,36.6,43.8,3.68842,147.32952,5,1.247998154583754
1429,1098.7530800000004,8.44617,52.5,35.6,43.8,4.11135,104.7433,0,1.3909930593577458
1434,1094.77606,8.42416,51.5,35.6,42.8,3.295,28.12383,5,0.6391487358368133
1477,1109.03317,8.44617,49.5,34.6,40.8,3.61851,158.43558000000004,5,1.1323650796126892
1482,1123.21514,8.64627,50.5,34.6,40.8,4.8181400000000005,252.16295,0,0.778756785331666
1487,1100.0437,8.44417,50.5,34.6,40.8,3.73392,143.98811,5,1.3409888811394035
