,date,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
725,2018-07-01 12:09:00.000,1550.47625,11.88988,56.5,33.6,42.8,5.76654,654.60938,9,1.5755759692879583
730,2018-07-01 12:14:00.000,1546.12405,11.84385,56.5,33.6,42.8,6.0397300000000005,646.44188,6,1.6388236333974282
735,2018-07-01 12:19:00.000,1624.70314,12.44215,56.5,33.6,42.8,6.89467,746.16162,0,1.065179684696313
740,2018-07-01 12:24:00.000,1477.22522,11.25156,56.5,33.6,42.8,5.6095,552.9340599999998,9,0.7748667044903355
745,2018-07-01 12:29:00.000,1261.85366,9.68279,56.5,33.6,42.8,4.50894,354.02281,2,1.4035768044295955
750,2018-07-01 12:34:00.000,1361.50288,10.49319,56.5,33.6,42.8,5.66834,443.01034,9,0.1944871933111101
755,2018-07-01 12:39:00.000,1614.54296,12.3501,56.5,33.6,42.8,7.09163,720.63306,6,1.4409170534804165
760,2018-07-01 12:44:00.000,1614.13783,12.27607,56.5,33.6,42.8,7.01484,718.1593799999998,6,1.3304509466111945
765,2018-07-01 12:49:00.000,1748.19906,13.40262,57.5,33.6,42.8,8.02135,1087.05788,11,0.8100963449144771
770,2018-07-01 12:54:00.000,1746.14294,13.37061,57.5,33.6,42.8,8.00357,935.75244,10,0.7688023155475537
775,2018-07-01 12:59:00.000,1676.14841,12.90238,58.5,33.6,42.8,6.846,823.5276200000002,0,0.6010324680748006
780,2018-07-01 13:04:00.000,1712.6464399999998,13.19652,58.5,33.6,42.8,8.005419999999999,886.23881,10,0.5133233507048339
785,2018-07-01 13:09:00.000,1617.75455,12.37812,58.5,33.6,42.8,5.16119,740.79269,9,2.6091404591932483
790,2018-07-01 13:14:00.000,1561.08661,12.00393,58.5,33.6,42.8,6.2212,675.54794,6,1.3864849087712492
795,2018-07-01 13:19:00.000,1620.7861,12.47817,58.5,33.6,42.8,6.7509,739.03444,0,0.966476833352578
800,2018-07-01 13:24:00.000,1737.6789399999998,13.31458,58.5,33.6,42.8,6.56165,927.05969,0,0.5062129574854728
805,2018-07-01 13:29:00.000,1752.05589,13.422629999999998,58.5,33.6,42.8,8.32431,1110.00625,11,1.2263377255005743
810,2018-07-01 13:34:00.000,1757.6836899999996,13.38662,59.5,33.6,43.8,9.19778,1772.49475,1,0.7359363561205227
815,2018-07-01 13:39:00.000,1751.75587,13.39862,60.5,33.6,43.8,8.29626,1361.227,8,0.7209712220939856
820,2018-07-01 13:44:00.000,1739.26958,13.38061,60.5,33.6,43.8,8.42715,1347.71425,8,0.4756381589654474
825,2018-07-01 13:49:00.000,1747.08863,13.40462,60.5,33.6,44.8,8.04815,1770.49025,1,2.1193759663759737
830,2018-07-01 13:54:00.000,1744.4922399999996,13.37461,61.5,33.6,44.8,9.3722,1518.11275,1,1.116178315196849
835,2018-07-01 13:59:00.000,1760.73025,13.45865,61.5,33.6,45.8,8.22625,1459.10362,8,1.0868244108358196
840,2018-07-01 14:04:00.000,1748.42415,13.36661,61.5,34.6,45.8,7.6637,1573.27238,8,2.4936422683501616
845,2018-07-01 14:09:00.000,1744.58234,13.40262,62.5,34.6,46.8,8.44662,1847.42512,1,1.743493432621705
