,date,Generator_speed,Rotor_speed,Gearbox_oil_tem,Generator_bearing_tem_drive,Generator_bearing_tem_nondrive,wind_speed,active_power
80,2018-01-01 19:09:00.000,1168.29743,8.99044,49.9,28.1,37.4,4.34592,282.41294
81,2018-01-01 19:19:00.000,1268.08179,9.65077,50.9,27.1,35.4,5.48075,348.88684
82,2018-01-01 19:29:00.000,1247.35659,9.55672,51.9,26.1,35.4,5.2144900000000005,338.74747
83,2018-01-01 19:39:00.000,1444.68914,11.01945,52.9,26.1,35.4,5.88059,519.02716
84,2018-01-01 19:49:00.000,1191.3188599999999,9.11651,53.9,27.1,36.4,5.17236,292.52488
85,2018-01-01 19:59:00.000,1361.51789,10.403139999999999,54.9,27.1,37.4,4.41068,440.78702999999996
86,2018-01-01 20:09:00.000,1144.57071,8.7003,54.9,28.1,38.4,4.59901,256.89677
87,2018-01-01 20:19:00.000,1098.8581199999999,8.436169999999999,54.9,27.1,37.4,4.35329,183.42497
88,2018-01-01 20:29:00.000,1095.1813300000001,8.43817,54.9,26.1,36.4,3.88098,201.79648
89,2018-01-01 20:39:00.000,1102.4749199999999,8.43017,54.9,26.1,36.4,3.59939,178.48622
90,2018-01-01 20:49:00.000,1102.92517,8.42216,54.9,26.1,36.4,4.19461,155.162
91,2018-01-01 20:59:00.000,1106.24172,8.5062,54.9,26.1,37.4,4.04103,238.76441
92,2018-01-01 21:09:00.000,1100.07373,8.42817,54.9,27.1,38.4,2.88481,114.13855
93,2018-01-01 21:19:00.000,1099.24831,8.43217,54.9,27.1,39.4,3.36645,116.4423
94,2018-01-01 21:29:00.000,1101.06418,8.426160000000001,54.9,26.1,37.4,3.46858,115.90978
95,2018-01-01 21:39:00.000,1094.0107,8.42817,54.9,25.1,36.4,3.6508800000000003,127.50191000000001
96,2018-01-01 21:49:00.000,1102.02467,8.43017,54.9,25.1,36.4,4.4497800000000005,226.68056
97,2018-01-01 21:59:00.000,1284.80001,9.82085,55.9,26.1,37.4,5.29171,367.57666
98,2018-01-01 22:09:00.000,1117.25722,8.57024,56.9,26.1,38.4,5.01925,243.06267000000003
99,2018-01-01 22:19:00.000,1094.8811699999999,8.42416,56.9,27.1,38.4,3.3627199999999995,104.33861999999999
100,2018-01-01 22:29:00.000,1101.37936,8.426160000000001,55.9,26.1,37.4,2.69107,61.04861999999999
101,2018-01-01 22:39:00.000,1095.2413199999999,8.42817,55.9,25.1,36.4,2.78117,79.44813
102,2018-01-01 22:49:00.000,1094.22084,8.42216,55.9,25.1,36.4,3.55965,149.09561000000005
103,2018-01-01 22:59:00.000,1101.91963,8.426160000000001,55.9,25.1,36.4,3.5482699999999996,155.91419
104,2018-01-01 23:09:00.000,1095.06121,8.43817,55.9,26.1,37.4,2.86571,72.40238000000002
105,2018-01-02 05:26:00.000,1102.35479,8.426160000000001,42.9,21.1,20.4,3.52376,82.10602
106,2018-01-02 05:36:00.000,1140.21858,8.6963,43.9,21.1,20.4,5.03094,255.26153
107,2018-01-02 05:46:00.000,1099.47347,8.42817,44.9,21.1,21.4,4.06806,144.54053000000005
108,2018-01-02 05:56:00.000,1098.6780099999999,8.42817,44.9,22.1,22.4,3.21202,95.04259
109,2018-01-02 06:18:00.000,1095.39141,8.426160000000001,44.9,23.1,24.4,2.96097,102.33435
110,2018-01-02 06:28:00.000,1096.1567699999996,8.43817,45.9,24.1,25.4,3.4259199999999996,102.29068000000001
111,2018-01-02 06:38:00.000,1094.35584,8.43417,45.9,24.1,27.4,3.8400800000000004,96.40516
112,2018-01-02 06:48:00.000,1096.36691,8.43217,46.9,25.1,28.4,3.77075,107.16122
113,2018-01-02 06:58:00.000,1100.62894,8.436169999999999,46.9,26.1,30.4,3.47274,130.37252
114,2018-01-02 07:08:00.000,1107.66741,8.46218,46.9,27.1,32.4,5.4499,213.78161
115,2018-01-02 07:18:00.000,1096.60702,8.436169999999999,47.9,28.1,33.4,2.76253,136.25544
117,2018-01-02 07:38:00.000,1095.43645,8.442169999999999,47.9,26.1,32.4,3.4973699999999996,61.38214
119,2018-01-02 07:58:00.000,1101.90469,8.420160000000001,47.9,26.1,33.4,3.6673199999999997,121.69793999999999
120,2018-01-02 08:08:00.000,1098.01776,8.426160000000001,47.9,26.1,35.4,3.97139,83.79459
121,2018-01-02 08:18:00.000,1108.56791,8.442169999999999,48.9,27.1,36.4,2.5398099999999997,31.915129999999998
122,2018-01-02 08:28:00.000,1099.72859,8.43817,48.9,28.1,37.4,3.9334300000000004,138.33266
123,2018-01-02 08:38:00.000,1095.10625,8.436169999999999,48.9,27.1,36.4,4.10534,117.80996
124,2018-01-02 08:48:00.000,1107.71253,8.44417,48.9,26.1,35.4,3.22167,84.4325
125,2018-01-02 08:58:00.000,1096.09678,8.42817,48.9,25.1,35.4,3.17262,113.68651000000001
126,2018-01-02 09:08:00.000,1100.9891699999996,8.436169999999999,48.9,25.1,35.4,3.74545,154.59653
127,2018-01-02 09:18:00.000,1107.81756,8.42216,48.9,25.1,36.4,2.78931,116.7644
128,2018-01-02 09:28:00.000,1106.81203,8.42416,49.9,26.1,37.4,3.09308,99.87397
