Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power
1612.98221,12.35811,61.5,34.6,45.8,7.0732800000000005,741.8693099999997
1522.41234,11.62575,61.5,34.6,45.8,5.64624,616.1935
1626.90912,12.44615,61.5,34.6,45.8,6.11257,754.91412
1705.6679600000002,13.06246,61.5,34.6,45.8,6.98504,878.9123800000001
1407.66571,10.78333,60.5,34.6,45.8,5.04504,492.31969
1741.04054,13.23054,60.5,34.6,45.8,6.88094,893.98475
1743.77178,13.39662,60.5,34.6,45.8,9.01037,1716.64938
1779.59469,13.5527,61.5,34.6,45.8,9.43191,2052.75337
1747.14855,13.43264,62.5,34.6,45.8,10.97487,2058.00912
1758.55416,13.45065,62.5,34.6,45.8,10.58192,2057.9425
1740.4701,13.38262,62.5,34.6,46.8,11.02719,2061.14363
1727.3837600000006,13.298570000000002,63.5,34.6,47.8,8.36876,1265.6
1721.80101,13.108479999999998,63.5,34.6,47.8,9.83377,2034.38812
1768.7442199999994,13.43264,63.5,34.6,47.8,9.2168,1295.38162
1747.31372,13.44665,63.5,34.6,48.8,9.14959,1784.39975
1744.3571,13.406629999999998,63.5,35.6,48.8,8.19784,1427.53412
1763.1913600000007,13.42463,63.5,35.6,48.8,9.92649,1770.69275
1752.17601,13.422629999999998,63.5,35.6,48.8,9.8013,1992.64388
1747.89889,13.394620000000002,63.5,35.6,48.8,9.38793,2056.239
1734.42215,13.3566,64.5,35.6,49.8,9.64452,2059.45675
1761.33044,13.42063,64.5,35.6,49.8,10.25302,2056.59988
1765.78775,13.44464,64.5,36.6,50.8,9.14143,1567.6595
1746.7284,13.42463,64.5,36.6,50.8,7.61035,1381.4225
1752.7912199999994,13.40262,64.5,36.6,50.8,7.40625,1074.49525
1645.4582300000006,12.68827,64.5,36.6,50.8,7.416989999999997,786.1243099999997
1517.94016,11.55371,63.5,36.6,50.8,5.38775,600.53362
1745.87295,13.37061,63.5,36.6,50.8,7.2711,955.20038
1253.67452,9.64076,62.5,36.6,50.8,5.72445,345.40709
1108.28276,8.44017,61.5,36.6,50.8,3.24005,63.76541
1779.45955,13.66475,56.5,36.6,47.8,7.79846,1200.67838
1756.27309,13.44064,58.5,36.6,47.8,8.21004,1310.6115
1524.31845,11.71579,59.5,36.6,47.8,5.53909,624.50681
1518.79576,11.62775,59.5,36.6,46.8,7.1212399999999985,598.59181
1637.75959,12.49818,59.5,36.6,46.8,7.56755,744.0405599999997
1738.80453,13.29657,59.5,36.6,46.8,8.225010000000001,1277.488
1535.45392,11.70378,59.5,36.6,46.8,5.643,626.01131
1099.30837,8.43417,59.5,36.6,46.8,2.7806,44.34129
1097.52239,8.42817,57.5,36.6,45.8,3.23226,37.03597
1101.76955,8.42216,52.5,35.6,42.8,2.68658,94.44202
1107.00716,8.420160000000001,53.5,34.6,42.8,4.18053,157.78631
1099.53346,8.43417,53.5,34.6,42.8,4.12519,147.84784
1099.96869,8.42817,53.5,34.6,42.8,4.301830000000002,154.3072
1101.22928,8.44617,53.5,34.6,42.8,2.99393,47.95826
1109.13814,8.44818,53.5,34.6,42.8,3.88498,154.1047
1109.07815,8.436169999999999,53.5,35.6,43.8,4.20556,168.37783000000005
1235.17046,9.52671,53.5,35.6,43.8,5.55393,336.27469
1419.6866699999994,10.88138,53.5,35.6,43.8,5.11261,499.43481
1288.37183,9.88889,53.5,36.6,44.8,4.4793400000000005,376.33972
1760.55021,13.422629999999998,53.5,36.6,44.8,7.66582,971.03556
1634.38282,12.47016,54.5,37.6,45.8,5.99559,763.7506900000003
1399.98194,10.78133,54.5,37.6,45.8,5.63085,479.51481
1434.39396,10.98943,54.5,37.6,45.8,7.24133,512.7121900000002
1284.39473,9.85687,54.5,37.6,45.8,5.69614,367.75044
1230.1730300000004,9.39064,54.5,37.6,45.8,5.87778,318.41447
1139.61825,8.746319999999999,54.5,37.6,45.8,4.33451,258.68689
1153.54517,8.83437,54.5,37.6,44.8,5.12242,265.79681
1106.3768699999996,8.43217,53.5,36.6,44.8,3.96853,145.39517
1104.54591,8.42817,53.5,36.6,44.8,3.62361,141.90498
1100.73405,8.42817,53.5,36.6,43.8,3.9083,174.49455
1105.64146,8.42416,52.5,36.6,43.8,3.68842,147.32952
1098.7530800000004,8.44617,52.5,35.6,43.8,4.11135,104.7433
1094.77606,8.42416,51.5,35.6,42.8,3.295,28.12383
1109.03317,8.44617,49.5,34.6,40.8,3.61851,158.43558000000004
1123.21514,8.64627,50.5,34.6,40.8,4.8181400000000005,252.16295
1100.0437,8.44417,50.5,34.6,40.8,3.73392,143.98811
1109.30324,8.436169999999999,51.5,34.6,40.8,3.43068,129.15614
1097.8976300000004,8.426160000000001,51.5,34.6,41.8,4.14039,156.11542
1107.6074199999996,8.41816,51.5,35.6,41.8,3.44471,168.23984
1099.68347,8.42216,52.5,35.6,42.8,3.4504300000000003,96.31385
1105.47637,8.420160000000001,52.5,36.6,42.8,2.98536,20.87612
1107.36731,8.442169999999999,51.5,35.6,41.8,2.97773,81.67141
1099.54847,8.42216,46.5,34.6,36.8,3.31904,77.85213
1100.88406,8.41816,48.5,35.6,36.8,3.3532300000000004,142.05048
1099.56349,8.42216,48.5,35.6,36.8,2.49555,61.55413000000001
1097.53747,8.426160000000001,49.5,35.6,37.8,3.71199,88.67623
1105.97159,8.41216,49.5,35.6,38.8,4.16169,162.78708
1100.58397,8.44017,50.5,35.6,38.8,4.06161,188.31784
1098.87314,8.43817,50.5,36.6,39.8,2.62153,32.3414
1106.19675,8.436169999999999,50.5,36.6,40.8,2.88042,60.51029000000001
1108.82303,8.44617,50.5,36.6,40.8,4.08014,75.94723
1100.46392,8.42817,51.5,37.6,41.8,2.82166,60.52735
1109.15315,8.436169999999999,51.5,37.6,41.8,2.98876,43.14105
1099.08321,8.426160000000001,51.5,37.6,42.8,2.67654,4.16279
1102.4899300000004,8.43217,48.5,35.6,39.8,3.37994,111.78405
1098.25779,8.45618,49.5,35.6,39.8,4.0083,103.40941
1094.73108,8.43217,49.5,35.6,39.8,2.9824900000000003,81.13067
1098.15275,8.42216,50.5,36.6,39.8,3.65704,67.11234
1111.41934,8.46218,50.5,37.6,40.8,2.3318,79.52991
1107.41229,8.442169999999999,51.5,37.6,41.8,3.373,35.27317
1101.90469,8.436169999999999,51.5,38.6,41.8,2.65291,34.87428
1106.84206,8.44017,51.5,39.6,42.8,3.63225,98.34865
1109.27328,8.44017,52.5,39.6,43.8,3.97045,176.19803000000005
1107.41229,8.41416,52.5,39.6,43.8,3.17145,48.16819
1174.93069,9.05247,52.5,39.6,43.8,4.80557,286.0573100000001
1099.60846,8.44617,52.5,39.6,43.8,2.65467,40.3176
1109.00314,8.57024,52.5,39.6,43.8,3.66129,245.21594
1098.78311,8.44617,53.5,39.6,43.8,3.18604,30.62009
1099.14327,8.426160000000001,53.5,39.6,43.8,3.77523,148.51573
1106.55691,8.436169999999999,53.5,39.6,43.8,4.1969400000000014,79.15249
1100.08874,8.42416,53.5,39.6,43.8,4.76471,192.53656
1100.1187,8.41816,54.5,39.6,43.8,4.10336,187.55655
1274.48996,9.68078,54.5,39.6,43.8,5.34957,351.11394
1094.7461,8.43217,55.5,39.6,43.8,4.67842,199.34123
1098.88815,8.42216,55.5,39.6,43.8,3.92105,122.96445
1132.45973,8.74232,55.5,39.6,43.8,4.16003,258.85211
1291.73344,9.89489,55.5,39.6,43.8,5.83661,380.54303
1107.89257,8.42817,55.5,38.6,44.8,3.34274,57.07167
1215.12059,9.28459,56.5,38.6,44.8,4.92272,313.18212
1106.75204,8.42416,56.5,38.6,44.8,4.19626,186.39938
1099.62348,8.42817,56.5,38.6,44.8,3.2338400000000003,55.02354
